protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S2,ipi=0.20_m=1.00,8.700000,,1.00,1.927334,0.625328,34.700426,true,true,88,0.529328
S2,ipi=0.20_m=1.00,8.900000,,1.00,1.927334,0.628884,35.431433,true,true,90,0.532339
S2,ipi=0.20_m=1.00,9.100000,,1.00,1.927334,0.632370,36.160006,true,true,92,0.535289
S2,ipi=0.20_m=1.00,9.300000,,1.00,1.927334,0.635786,36.886155,true,true,94,0.538182
S2,ipi=0.20_m=1.00,9.500000,,1.00,1.927334,0.639138,37.609888,true,true,96,0.541019
S2,ipi=0.20_m=1.00,9.700000,,1.00,1.927334,0.642426,38.331212,true,true,98,0.543802
S2,ipi=0.20_m=1.00,9.900000,,1.00,1.927334,0.645655,39.050136,true,true,100,0.546535
S2,ipi=0.20_m=1.00,10.100000,,1.00,1.927334,0.648825,39.766667,true,true,102,0.549219
S2,ipi=0.20_m=1.00,10.300000,,1.00,1.927334,0.651940,40.480814,true,true,104,0.551855
S2,ipi=0.20_m=1.00,10.500000,,1.00,1.927334,0.655001,41.192584,true,true,106,0.554446
S2,ipi=0.20_m=1.00,10.700000,,1.00,1.927334,0.658010,41.901986,true,true,108,0.556993
S2,ipi=0.20_m=1.00,10.900000,,1.00,1.927334,0.660970,42.609027,true,true,110,0.559499
S2,ipi=0.20_m=1.00,11.100000,,1.00,1.927334,0.663881,43.313715,true,true,112,0.561963
S2,ipi=0.20_m=1.00,11.300000,,1.00,1.927334,0.666747,44.016058,true,true,114,0.564389
S2,ipi=0.20_m=1.00,11.500000,,1.00,1.927334,0.669567,44.716064,true,true,116,0.566776
S2,ipi=0.20_m=1.00,11.700000,,1.00,1.927334,0.672345,45.413740,true,true,118,0.569127
S2,ipi=0.20_m=1.00,11.900000,,1.00,1.927334,0.675080,46.109095,true,true,120,0.571443
S2,ipi=0.30_m=0.50,0.100000,,0.50,0.937808,0.063486,0.423241,true,true,2,0.053740
S2,ipi=0.30_m=0.50,0.400000,,0.50,1.282808,0.108093,0.845073,true,true,4,0.091499
S2,ipi=0.30_m=0.50,0.700000,,0.50,1.409727,0.142501,1.265502,true,true,6,0.120625
S2,ipi=0.30_m=0.50,1.000000,,0.50,1.456417,0.170524,1.684531,true,true,8,0.144346
S2,ipi=0.30_m=0.50,1.300000,,0.50,1.473594,0.194173,2.102167,true,true,10,0.164364
S2,ipi=0.30_m=0.50,1.600000,,0.50,1.479913,0.214638,2.518412,true,true,12,0.181687
S2,ipi=0.30_m=0.50,1.900000,,0.50,1.482237,0.232682,2.933272,true,true,14,0.196961
S2,ipi=0.30_m=0.50,2.200000,,0.50,1.483092,0.248823,3.346752,true,true,16,0.210624
S2,ipi=0.30_m=0.50,2.500000,,0.50,1.483407,0.263428,3.758855,true,true,18,0.222987
S2,ipi=0.30_m=0.50,2.800000,,0.50,1.483523,0.276769,4.169587,true,true,20,0.234280
S2,ipi=0.30_m=0.50,3.100000,,0.50,1.483565,0.289050,4.578953,true,true,22,0.244675
S2,ipi=0.30_m=0.50,3.400000,,0.50,1.483581,0.300429,4.986956,true,true,24,0.254308
S2,ipi=0.30_m=0.50,3.700000,,0.50,1.483587,0.311033,5.393601,true,true,26,0.263284
S2,ipi=0.30_m=0.50,4.000000,,0.50,1.483589,0.320963,5.798893,true,true,28,0.271689
S2,ipi=0.30_m=0.50,4.300000,,0.50,1.483590,0.330301,6.202837,true,true,30,0.279594
S2,ipi=0.30_m=0.50,4.600000,,0.50,1.483590,0.339115,6.605436,true,true,32,0.287055
S2,ipi=0.30_m=0.50,4.900000,,0.50,1.483590,0.347462,7.006695,true,true,34,0.294120
S2,ipi=0.30_m=0.50,5.200000,,0.50,1.483590,0.355391,7.406619,true,true,36,0.300832
S2,ipi=0.30_m=0.50,5.500000,,0.50,1.483590,0.362943,7.805213,true,true,38,0.307225
S2,ipi=0.30_m=0.50,5.800000,,0.50,1.483590,0.370153,8.202479,true,true,40,0.313328
